"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,27337,178,44038891,241982,0,72,0
192.168.10.137,0,0,0,0,0,0,26363,168,41127475,225987,0,72,0
192.168.10.152,0,0,0,0,0,0,27601,179,42920089,235834,0,73,0
192.168.10.161,0,0,0,0,0,0,26747,171,43967809,241590,0,72,0
localhost,144,103,2705,3,0,0,350756,1329,216021375,1069834,0,0,4470
control,227,106,148,0,0,0,0,0,0,0,0,0,0
