"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx retries","tx failed"
localhost,152,96,5797,3,4,0,349146,1513,335607547,4414851,17724,0
control,132,106,137,0,0,0,0,0,0,0,0,0
