"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,27484,208,42860731,29225,4,87,0
192.168.10.120,0,0,0,0,0,0,75890,1470,77329057,52680,0,85,0
192.168.10.121,0,0,0,0,0,0,25222,206,44136721,30098,0,86,0
192.168.10.122,0,0,0,0,0,0,75764,1469,60029897,40908,0,85,0
192.168.10.126,0,0,0,0,0,0,25446,208,43242633,29490,0,86,0
192.168.10.128,0,0,0,0,0,0,74848,1447,110348773,75144,0,86,0
192.168.10.137,0,0,0,0,0,0,75446,1465,48645053,33164,0,86,0
192.168.10.138,0,0,0,0,0,0,25096,205,40162011,27391,0,86,0
192.168.10.140,0,0,0,0,0,0,25110,206,51634565,35194,0,86,0
192.168.10.152,0,0,0,0,0,0,75450,1452,48879295,33323,0,86,0
192.168.10.155,0,0,0,0,0,0,75986,1470,46841939,31939,1,85,0
192.168.10.158,0,0,0,0,0,0,25652,210,22000501,15036,2,86,0
192.168.10.161,0,0,0,0,0,0,74868,1434,59238357,40374,0,85,0
192.168.10.168,0,0,0,0,0,0,75560,1466,46749393,31872,0,86,0
192.168.10.190,0,0,0,0,0,0,25046,205,31820325,21712,2,86,0
192.168.10.217,0,0,0,0,0,0,25178,207,127650267,86905,0,87,0
192.168.10.226,0,0,0,0,0,0,26174,211,53812249,36684,0,86,0
192.168.10.247,0,0,0,0,0,0,25200,206,38833031,26489,0,86,0
192.168.10.248,0,0,0,0,0,0,25430,209,59551153,40582,0,85,0
localhost,181,126,1108,3,0,0,561981,1845,359954963,243812,0,0,2892
control,151,120,211,0,0,0,0,0,0,0,0,0,0
