"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.121,0,0,39432,233,18952925,13494,4,78,0
192.168.10.137,0,0,39480,230,7647887,5481,11,79,0
192.168.10.155,0,0,38706,222,13405795,9557,0,77,0
192.168.10.161,0,0,37862,223,10001883,7147,9,76,0
192.168.10.168,0,0,39678,237,9795277,7009,3,79,0
192.168.10.217,0,0,38540,220,9786173,6998,6,78,0
192.168.10.226,0,0,38982,230,8300071,5949,4,78,0
192.168.10.229,0,0,40706,233,12131267,8654,13,78,0
192.168.10.247,0,0,39230,228,15349887,10941,19,77,0
localhost,251,182,350812,1781,-4046476532,175115,0,0,482
