"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,34928,231,5076070,92186,9,76,0
192.168.10.120,0,0,32313,216,5472134,99385,0,78,0
192.168.10.121,0,0,34104,226,7958681,144591,33,77,0
192.168.10.128,0,0,35368,233,4578125,83127,0,76,0
192.168.10.137,0,0,34528,229,4422160,80294,0,77,0
192.168.10.138,0,0,33160,221,4965066,90160,16,77,0
192.168.10.140,0,0,35722,236,7874350,143061,0,77,0
192.168.10.168,0,0,33507,221,4120579,74813,0,77,0
192.168.10.247,0,0,33904,221,4583281,83225,0,76,0
localhost,126,96,309091,1682,93096912,1239938,0,0,1734
