"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,38640,230,6191879,88383,0,76,0
192.168.10.122,0,0,34474,212,6965913,99442,0,74,0
192.168.10.126,0,0,35610,220,6497653,92751,0,75,0
192.168.10.128,0,0,37300,221,6610857,94370,0,75,0
192.168.10.137,0,0,36924,223,5821215,83089,0,75,0
192.168.10.155,0,0,36256,215,7900087,112789,0,75,0
192.168.10.158,0,0,37658,227,6033237,86118,0,76,0
192.168.10.226,0,0,37568,221,7324461,104565,0,76,0
192.168.10.247,0,0,38394,227,6184721,88282,0,75,0
localhost,123,98,458087,2633,144666821,1606145,0,0,150
