"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,32729,197,7048416,6632,0,80,0
192.168.10.122,0,0,33523,201,17455271,16339,0,80,0
192.168.10.126,0,0,34092,208,7423910,6984,0,80,0
192.168.10.128,0,0,32904,198,13937282,13059,7,79,0
192.168.10.137,0,0,33926,204,10131802,9511,0,79,0
192.168.10.138,0,0,32777,198,8658680,8136,0,79,0
192.168.10.152,0,0,34109,203,10052507,9438,0,80,0
192.168.10.155,0,0,33365,199,17270371,16161,0,80,0
192.168.10.158,0,0,32919,200,6705464,6313,3,80,0
192.168.10.161,0,0,32742,198,10501913,9850,0,80,0
192.168.10.168,0,0,34302,203,15420598,14441,0,80,0
192.168.10.190,0,0,33085,200,17030994,15943,0,79,0
192.168.10.217,0,0,32138,189,15038776,14082,0,79,0
192.168.10.247,0,0,35038,210,8088424,7604,0,80,0
localhost,192,175,439800,2186,296442667,273270,0,0,85
