"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx retries","tx failed"
localhost,437,340,19203,8,0,0,263380,544,242209444,1758415,88812,3814
control,564,128,2055,3,0,0,0,0,0,0,0,0
