"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,38934,327,14961169,10671,3,89,0
192.168.10.120,0,0,0,0,0,0,38721,320,25064645,17841,0,89,0
192.168.10.121,0,0,0,0,0,0,40698,332,21749660,15494,0,92,0
192.168.10.122,0,0,0,0,0,0,38943,324,21105757,15031,0,91,0
192.168.10.126,0,0,0,0,0,0,38105,318,19730401,14054,0,91,0
192.168.10.128,0,0,0,0,0,0,41057,340,48128955,34200,0,93,0
192.168.10.137,0,0,0,0,0,0,39864,330,13213767,9445,1,93,0
192.168.10.138,0,0,0,0,0,0,39690,334,24164215,17201,0,89,0
192.168.10.140,0,0,0,0,0,0,39894,324,9753863,6999,0,92,0
192.168.10.152,0,0,0,0,0,0,40356,337,4824531,3471,2,92,0
192.168.10.155,0,0,0,0,0,0,40302,339,27075081,19271,1,91,0
192.168.10.158,0,0,0,0,0,0,39004,328,22564429,16062,0,93,0
192.168.10.161,0,0,0,0,0,0,33234,268,4834963,3482,3,92,0
192.168.10.168,0,0,0,0,0,0,38821,323,17921437,12784,1,89,0
192.168.10.190,0,0,0,0,0,0,39771,330,17689155,12615,1,92,0
192.168.10.226,0,0,0,0,0,0,38265,320,19948183,14215,0,89,0
192.168.10.229,0,0,0,0,0,0,39421,329,4484769,3230,3,92,0
192.168.10.247,0,0,0,0,0,0,39799,325,18462907,13171,0,92,0
192.168.10.248,0,0,0,0,0,0,40804,341,4113759,2987,2,93,0
localhost,405,269,1006,3,0,0,430619,1838,134135666,95209,0,0,1529
control,155,147,195,1,0,0,0,0,0,0,0,0,0
