"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.128,0,0,0,0,0,0,56662,407,46458535,32968,0,105,0
192.168.10.137,0,0,0,0,0,0,41159,302,19495341,13874,0,81,0
192.168.10.138,0,0,0,0,0,0,54686,409,24632743,17507,0,104,0
192.168.10.140,0,0,0,0,0,0,59418,416,46674255,33127,0,104,0
192.168.10.152,0,0,0,0,0,0,52861,397,18609415,13253,0,105,0
192.168.10.155,0,0,0,0,0,0,45326,326,38581299,27393,0,81,0
192.168.10.158,0,0,0,0,0,0,51944,395,31587105,22456,0,103,0
192.168.10.161,0,0,0,0,0,0,53272,401,28011551,19907,0,105,0
192.168.10.168,0,0,0,0,0,0,52535,402,9355317,6746,0,113,0
192.168.10.190,0,0,0,0,0,0,53169,399,31480441,22364,0,104,0
192.168.10.217,0,0,0,0,0,0,56566,409,43804557,31101,0,104,0
192.168.10.226,0,0,0,0,0,0,53265,390,28775037,20446,0,104,0
192.168.10.247,0,0,0,0,0,0,54047,395,13420507,9587,0,105,0
192.168.10.248,0,0,0,0,0,0,51799,396,20027541,14248,0,105,0
localhost,372,228,709,3,0,0,413733,1918,97419483,69515,0,0,1022
control,164,146,201,1,0,0,0,0,0,0,0,0,0
