"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.122,0,0,0,0,0,0,102464,1274,97240261,90258,0,77,0
192.168.10.126,0,0,0,0,0,0,59286,194,83054711,77097,1,78,0
192.168.10.128,0,0,0,0,0,0,104838,1344,161542939,149906,0,78,0
192.168.10.140,0,0,0,0,0,0,59480,196,103751159,96295,0,78,0
192.168.10.152,0,0,0,0,0,0,105234,1348,79388459,73697,0,78,0
192.168.10.155,0,0,0,0,0,0,105026,1344,88876865,82496,0,78,0
192.168.10.158,0,0,0,0,0,0,59286,194,82469579,76557,0,77,0
192.168.10.161,0,0,0,0,0,0,101704,1272,103653011,96203,0,78,0
192.168.10.217,0,0,0,0,0,0,58616,193,165696223,153757,0,78,0
localhost,263,112,1674,3,0,0,447581,1265,396617281,362518,108,0,4296
control,146,108,193,0,0,0,0,0,0,0,0,0,0
