"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.122,0,0,34015,206,3325997,57246,0,79,0
192.168.10.128,0,0,33897,206,2819633,48514,0,78,0
192.168.10.137,0,0,33729,205,2759995,47491,8,79,0
192.168.10.138,0,0,33365,205,2939987,50588,0,79,0
192.168.10.140,0,0,31434,196,4595625,79129,0,79,0
192.168.10.152,0,0,33503,203,2697713,46414,0,79,0
192.168.10.155,0,0,33825,207,3491049,60090,0,79,0
192.168.10.161,0,0,32199,196,4057175,69849,0,79,0
192.168.10.190,0,0,33351,206,3619061,62298,0,79,0
192.168.10.217,0,0,32327,198,3910307,67323,0,79,0
192.168.10.226,0,0,32607,198,3509341,60406,0,78,0
192.168.10.229,0,0,32895,201,4162809,71676,0,80,0
192.168.10.247,0,0,32711,200,3102353,53386,0,79,0
192.168.10.248,0,0,32840,203,3609205,62131,0,80,0
localhost,121,96,440674,2258,119068318,1524576,0,0,442
