"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,32499,194,17812871,31521,0,75,0
192.168.10.120,0,0,32423,195,20230753,35792,0,75,0
192.168.10.121,0,0,32634,196,28868711,51053,0,76,0
192.168.10.126,0,0,33768,203,19670843,34804,0,74,0
192.168.10.138,0,0,32197,191,16685763,29524,0,76,0
192.168.10.155,0,0,32590,193,20664379,36551,0,75,0
192.168.10.158,0,0,33383,197,19334145,34210,0,76,0
192.168.10.229,0,0,31640,188,18072535,31974,0,76,0
192.168.10.248,0,0,33423,197,22315615,39475,0,77,0
localhost,149,124,371527,1948,296538474,507466,0,0,50
