"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.122,0,0,0,0,0,0,27928,177,31480321,266766,0,73,0
192.168.10.128,0,0,0,0,0,0,29107,184,43700037,370324,0,72,0
192.168.10.155,0,0,0,0,0,0,27282,172,35314531,299259,0,72,0
192.168.10.248,0,0,0,0,0,0,27202,172,33890755,287193,0,73,0
localhost,140,99,4053,3,0,0,389145,1533,164474936,1191886,0,0,6155
control,135,106,147,0,0,0,0,0,0,0,0,0,0
