"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.120,0,0,0,0,0,0,26757,168,31613513,102007,0,76,0
192.168.10.121,0,0,0,0,0,0,27997,175,25572150,82521,0,77,0
192.168.10.122,0,0,0,0,0,0,28371,176,28789291,92897,0,76,0
192.168.10.128,0,0,0,0,0,0,28116,175,43292165,139682,0,77,0
192.168.10.140,0,0,0,0,0,0,28138,176,45084947,145464,0,76,0
192.168.10.168,0,0,0,0,0,0,27363,172,24754575,79883,0,76,0
192.168.10.226,0,0,0,0,0,0,29759,180,30062891,97007,0,75,0
192.168.10.229,0,0,0,0,0,0,27411,170,28542217,92100,0,77,0
192.168.10.248,0,0,0,0,0,0,28909,181,31274844,100918,0,76,0
localhost,217,172,2121,3,0,0,427369,1715,92251956,280462,0,0,2448
control,153,146,263,1,0,0,0,0,0,0,0,0,0
