"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.120,0,0,0,0,0,0,98383,1310,69641464,224681,1055,83,0
192.168.10.121,0,0,0,0,0,0,53946,238,31223455,100755,364,82,0
192.168.10.122,0,0,0,0,0,0,95777,1311,55389708,178713,957,82,0
192.168.10.126,0,0,0,0,0,0,51729,228,39592949,127752,417,82,0
192.168.10.137,0,0,0,0,0,0,94784,1305,38363962,123785,480,82,0
192.168.10.138,0,0,0,0,0,0,50801,226,36183696,116755,357,82,0
192.168.10.140,0,0,0,0,0,0,48038,221,55543257,179207,615,84,0
192.168.10.152,0,0,0,0,0,0,94321,1301,30557721,98606,390,83,0
192.168.10.155,0,0,0,0,0,0,94508,1312,34190221,110323,531,82,0
192.168.10.158,0,0,0,0,0,0,47027,213,37900589,122292,718,83,0
192.168.10.190,0,0,0,0,0,0,53558,234,35550204,114713,487,82,0
192.168.10.217,0,0,0,0,0,0,51765,230,87971227,283810,1477,82,0
192.168.10.229,0,0,0,0,0,0,99672,1379,79182434,255460,1142,84,0
192.168.10.247,0,0,0,0,0,0,54181,233,33033362,106595,741,82,0
localhost,1200,204,1332,5,436,2,308130,1018,29085575,88630,30,0,1258
control,971,268,840,5,169,0,0,0,0,0,0,0,0
