"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx retries","tx failed"
localhost,112,99,1159,0,0,0,336529,1449,523350593,3792505,6843,0
control,120,99,77,0,0,0,0,0,0,0,0,0
