"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,37718,264,32121949,30027,0,98,0
192.168.10.120,0,0,0,0,0,0,-268912,-1600,-95492055,-398794,0,-445,0
192.168.10.121,0,0,0,0,0,0,-2153583,-13434,-440292379,-2639879,-1,-5266,0
192.168.10.122,0,0,0,0,0,0,-237833,-1494,-66048551,-279171,0,-500,0
192.168.10.126,0,0,0,0,0,0,-289913,-1770,-75583785,-369634,-1,-511,0
192.168.10.128,0,0,0,0,0,0,-239019,-1471,-81959815,-336457,0,-482,0
192.168.10.138,0,0,0,0,0,0,-259206,-1594,-83192175,-216556,0,-494,0
192.168.10.140,0,0,0,0,0,0,-746815,-4719,-375949238,-1270905,0,-1717,0
192.168.10.152,0,0,0,0,0,0,-2177258,-13524,-409828860,-2188976,0,-5198,0
192.168.10.161,0,0,0,0,0,0,-235513,-1530,-31405897,-255089,-32,-561,0
192.168.10.168,0,0,0,0,0,0,-2819167,-16609,-370008434,-1626653,-56,-5212,0
192.168.10.217,0,0,0,0,0,0,-261977,-1616,-113044343,-649304,0,-498,0
192.168.10.226,0,0,0,0,0,0,-249740,-1600,-71073575,-322793,0,-551,0
192.168.10.229,0,0,0,0,0,0,39032,265,28909313,27038,0,98,0
localhost,368,232,938,3,0,0,494783,2172,139379827,129335,0,0,1292
control,149,110,155,0,0,0,0,0,0,0,0,0,0
