"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx retries","tx failed"
localhost,194,186,149,0,0,0,311613,1185,742369298,519680,253,0
control,225,108,87,0,0,0,0,0,0,0,0,0
