packet,delta,bytes
454,6,1024
455,7,1024
456,6,1024
457,7,1024
458,8,1024
459,6,1024
460,7,1024
461,7,1024
462,9,1024
463,7,1024
464,6,1024
465,7,1024
466,7,1024
467,6,1024
468,6,1024
469,6,1024
470,7,1024
471,6,1024
472,7,1024
473,6,1024
474,6,1024
475,6,1024
476,7,1024
477,6,1024
478,9,1024
479,14651,1024
480,10,1024
481,7,1024
482,6,1024
483,6,1024
484,6,1024
485,7,1024
486,6,1024
487,6,1024
488,6,1024
489,6,1024
490,6,1024
491,6,1024
492,7,1024
493,6,1024
494,7,1024
495,6,1024
496,6,1024
497,6,1024
498,5,1024
499,6,1024
500,6,1024
501,7,1024
502,6,1024
503,7,1024
504,6,1024
505,6,1024
506,6,1024
507,6,1024
508,6,1024
509,6,1024
510,6,1024
511,13,1024
512,8,1024
513,7,1024
514,6,1024
515,6,1024
516,7,1024
517,7,1024
518,6,1024
519,6,1024
520,6,1024
521,6,1024
522,6,1024
523,6,1024
524,6,1024
525,6,1024
526,7,1024
527,6,1024
528,7,1024
529,6,1024
530,6,1024
531,7,1024
532,6,1024
533,7,1024
534,6,1024
535,6,1024
536,12,1024
537,8,1024
538,7,1024
539,6,1024
540,7,1024
541,7,1024
542,7,1024
543,7,1024
544,7,1024
545,6,1024
546,6,1024
547,6,1024
548,6,1024
549,6,1024
550,6,1024
551,6,1024
552,6,1024
553,6,1024
554,6,1024
555,6,1024
556,6,1024
557,6,1024
558,7,1024
559,7,1024
560,7,1024
561,6,1024
562,7,1024
563,6,1024
564,6,1024
565,7,1024
566,6,1024
567,6,1024
568,6,1024
569,6,1024
570,7,1024
571,7,1024
572,11314,1024
573,8,1024
574,7,1024
575,6,1024
576,6,1024
577,8,1024
578,6,1024
579,6,1024
580,6,1024
581,6,1024
582,7,1024
583,7,1024
584,6,1024
585,6,1024
586,7,1024
587,6,1024
588,7,1024
589,6,1024
590,6,1024
591,7,1024
592,6,1024
593,6,1024
594,6,1024
595,6,1024
596,7,1024
597,7,1024
598,6,1024
599,6,1024
600,6,1024
601,6,1024
602,6,1024
603,6,1024
604,6,1024
605,6,1024
606,7,1024
607,7,1024
608,6,1024
609,7,1024
610,6,1024
611,6,1024
612,6,1024
613,6,1024
614,6,1024
615,7,1024
616,6,1024
617,6,1024
618,6,1024
619,6,1024
620,6,1024
621,6,1024
622,6,1024
623,6,1024
624,6,1024
625,10,1024
626,6,1024
627,6,1024
628,11,1024
629,7,1024
630,29304,1024
631,9,1024
632,7,1024
633,7,1024
634,6,1024
635,6,1024
636,6,1024
637,6,1024
638,6,1024
639,6,1024
640,7,1024
641,7,1024
642,6,1024
643,6,1024
644,6,1024
645,7,1024
646,6,1024
647,6,1024
648,6,1024
649,5,1024
650,6,1024
651,6,1024
652,6,1024
