packet,delta,bytes
0,33,1024
1,10,1024
2,9,1024
3,9,1024
4,8,1024
5,7,1024
6,9,1024
7,8,1024
8,9,1024
9,8,1024
10,8,1024
11,21,1024
12,9,1024
13,8,1024
14,8,1024
15,8,1024
16,8,1024
17,8,1024
18,8,1024
19,8,1024
20,8,1024
21,8,1024
22,8,1024
23,8,1024
24,8,1024
25,7,1024
26,8,1024
27,8,1024
28,8,1024
29,8,1024
30,8,1024
31,8,1024
32,7,1024
33,8,1024
34,7,1024
35,9,1024
36,9,1024
37,8,1024
38,8,1024
39,8,1024
40,8,1024
41,8,1024
42,8,1024
43,8,1024
44,7,1024
45,7,1024
46,8,1024
47,9,1024
48,15,1024
49,9,1024
50,8,1024
51,8,1024
52,8,1024
53,8,1024
54,7,1024
55,9,1024
56,8,1024
57,7,1024
58,7,1024
59,8,1024
60,8,1024
61,7,1024
62,8,1024
63,8,1024
64,11,1024
65,7,1024
66,8,1024
67,9,1024
68,8,1024
69,8,1024
70,8,1024
71,8,1024
72,8,1024
73,8,1024
74,7,1024
75,7,1024
76,8,1024
77,7,1024
78,8,1024
79,8,1024
80,11,1024
81,8,1024
82,8,1024
83,8,1024
84,7,1024
85,8,1024
86,8,1024
87,8,1024
88,8,1024
89,8,1024
90,8,1024
91,7,1024
92,8,1024
93,8,1024
94,8,1024
95,8,1024
96,257606,1024
97,18,1024
98,8,1024
99,8,1024
100,8,1024
101,8,1024
102,8,1024
103,8,1024
104,8,1024
105,8,1024
106,7,1024
107,8,1024
108,8,1024
109,8,1024
110,8,1024
111,8,1024
112,8,1024
113,9,1024
114,8,1024
115,8,1024
116,8,1024
117,8,1024
118,8,1024
119,9,1024
120,8,1024
121,8,1024
122,8,1024
123,8,1024
124,9,1024
125,8,1024
126,8,1024
127,8,1024
128,9,1024
129,9,1024
130,8,1024
131,8,1024
132,8,1024
133,8,1024
134,9,1024
135,8,1024
136,8,1024
137,14,1024
138,8,1024
139,8,1024
140,8,1024
141,8,1024
142,7,1024
143,169200,1024
144,15,1024
145,10,1024
146,8,1024
147,9,1024
148,7,1024
149,8,1024
150,8,1024
151,8,1024
152,8,1024
153,14,1024
154,9,1024
155,8,1024
156,7,1024
157,7,1024
158,8,1024
159,7,1024
160,8,1024
161,7,1024
162,8,1024
163,7,1024
164,8,1024
165,8,1024
166,8,1024
167,7,1024
168,7,1024
169,11,1024
170,8,1024
171,8,1024
172,8,1024
173,8,1024
174,8,1024
175,8,1024
176,8,1024
177,7,1024
178,7,1024
179,8,1024
180,8,1024
181,7,1024
182,8,1024
183,8,1024
184,8,1024
185,11,1024
186,9,1024
187,7,1024
188,8,1024
189,7,1024
190,7,1024
191,7,1024
192,178115,1024
193,28,1024
194,11,1024
195,12,1024
196,9,1024
197,7,1024
198,7,1024
199,7,1024
200,8,1024
201,10,1024
202,8,1024
203,8,1024
204,8,1024
205,8,1024
206,8,1024
207,8,1024
208,7,1024
209,9,1024
210,9,1024
211,9,1024
212,7,1024
213,7,1024
214,8,1024
215,9,1024
216,8,1024
217,7,1024
218,8,1024
219,8,1024
220,8,1024
221,7,1024
222,7,1024
223,7,1024
224,7,1024
225,8,1024
226,7,1024
227,7,1024
228,8,1024
229,8,1024
230,8,1024
231,8,1024
232,8,1024
233,8,1024
234,9,1024
235,8,1024
236,8,1024
237,7,1024
238,7,1024
239,127543,1024
240,27,1024
241,12,1024
242,11,1024
243,11,1024
244,8,1024
245,7,1024
246,7,1024
247,8,1024
248,8,1024
249,8,1024
250,9,1024
251,7,1024
252,8,1024
253,8,1024
254,7,1024
255,8,1024
256,8,1024
257,8,1024
258,9,1024
259,8,1024
260,7,1024
261,7,1024
262,8,1024
263,8,1024
264,8,1024
265,8,1024
266,9,1024
267,9,1024
268,8,1024
269,8,1024
270,8,1024
271,8,1024
272,8,1024
273,8,1024
274,7,1024
275,7,1024
276,8,1024
277,7,1024
278,8,1024
279,10,1024
280,8,1024
281,8,1024
282,8,1024
283,8,1024
284,8,1024
285,7,1024
286,8,1024
287,8,1024
288,8,1024
289,8,1024
290,9,1024
291,8,1024
292,8,1024
293,9,1024
294,98680,1024
295,23,1024
296,8,1024
297,8,1024
298,8,1024
299,7,1024
300,8,1024
301,8,1024
302,10,1024
303,8,1024
304,8,1024
305,8,1024
306,8,1024
307,7,1024
308,8,1024
309,8,1024
310,8,1024
311,8,1024
312,9,1024
313,9,1024
314,7,1024
315,7,1024
316,8,1024
317,8,1024
318,9,1024
319,8,1024
320,9,1024
321,8,1024
322,9,1024
323,8,1024
324,8,1024
325,8,1024
326,8,1024
327,8,1024
328,7,1024
329,7,1024
330,7,1024
331,8,1024
332,8,1024
333,8,1024
334,8,1024
335,8,1024
336,9,1024
337,8,1024
338,8,1024
339,8,1024
340,8,1024
341,8,1024
342,15,1024
343,9,1024
344,8,1024
345,141298,1024
346,24,1024
347,8,1024
348,8,1024
349,8,1024
350,8,1024
351,8,1024
352,7,1024
353,7,1024
354,8,1024
355,10,1024
356,8,1024
357,8,1024
358,8,1024
359,8,1024
360,8,1024
361,7,1024
362,7,1024
363,8,1024
364,8,1024
365,8,1024
