"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,48015,318,13379977,9568,1,118,0
192.168.10.120,0,0,37665,234,16397551,11697,0,81,0
192.168.10.121,0,0,47160,311,29530013,21018,0,118,0
192.168.10.126,0,0,38182,239,7417535,5326,0,82,0
192.168.10.137,0,0,37902,232,7840259,5626,0,81,0
192.168.10.138,0,0,46036,303,7511193,5401,1,119,0
192.168.10.140,0,0,38086,240,12516781,8948,0,81,0
192.168.10.152,0,0,39567,247,12153531,8692,1,82,0
192.168.10.158,0,0,37844,231,8550397,6130,1,82,0
192.168.10.161,0,0,45090,291,16642233,11866,0,117,0
192.168.10.168,0,0,47561,316,10935971,7832,0,117,0
192.168.10.217,0,0,34930,217,14883285,10614,0,81,0
192.168.10.229,0,0,45288,304,11005849,7907,0,123,0
192.168.10.248,0,0,47196,313,14444785,10318,0,119,0
localhost,207,175,423043,2493,280499039,198361,0,0,95
