"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.120,0,0,0,0,0,0,33144,226,23651007,200416,0,78,0
192.168.10.121,0,0,0,0,0,0,32868,225,19281347,163385,0,78,0
192.168.10.137,0,0,0,0,0,0,31109,213,20032787,169753,0,77,0
192.168.10.138,0,0,0,0,0,0,32127,220,17076861,144704,0,78,0
192.168.10.152,0,0,0,0,0,0,30498,207,17228317,145986,0,76,0
192.168.10.155,0,0,0,0,0,0,30142,208,23457685,198777,0,75,0
192.168.10.161,0,0,0,0,0,0,31053,211,18353409,155522,0,77,0
192.168.10.217,0,0,0,0,0,0,33353,227,31954659,270787,0,77,0
192.168.10.229,0,0,0,0,0,0,32343,223,18026369,152749,0,78,0
localhost,169,117,3983,3,0,0,454334,1906,83300565,603526,0,0,3424
control,141,108,180,0,0,0,0,0,0,0,0,0,0
