"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,31892,195,13318415,42999,0,75,0
192.168.10.120,0,0,31245,195,16565989,53472,0,75,0
192.168.10.126,0,0,31840,195,20828781,67225,0,75,0
192.168.10.138,0,0,31222,191,14346523,46312,0,76,0
192.168.10.152,0,0,31735,198,15078675,48674,0,76,0
192.168.10.161,0,0,30258,183,15508147,50057,0,75,0
192.168.10.168,0,0,31561,196,15743997,50822,0,75,0
192.168.10.190,0,0,31343,195,13453527,43433,0,75,0
192.168.10.248,0,0,32608,197,15661087,50553,0,76,0
localhost,131,110,338857,1890,285966734,867637,0,0,84
