"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx retries","tx failed"
localhost,441,468,23258,9,0,0,272437,571,334457200,1655995,34399,0
control,281,111,752,0,0,0,0,0,0,0,0,0
