"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,39845,227,11226883,10469,8,83,0
192.168.10.121,0,0,40453,239,14563870,13569,0,86,0
192.168.10.122,0,0,43240,255,9263277,8661,4,84,0
192.168.10.126,0,0,43784,257,7900315,7392,4,86,0
192.168.10.128,0,0,42827,254,8664825,8106,0,86,0
192.168.10.137,0,0,39862,240,2501469,2396,16,86,0
192.168.10.138,0,0,42644,246,8354051,7814,1,84,0
192.168.10.140,0,0,43510,262,8301594,7777,16,88,0
192.168.10.152,0,0,41329,246,5590768,5256,0,87,0
192.168.10.155,0,0,42186,251,11410930,10648,0,88,0
192.168.10.158,0,0,37884,222,372509,413,0,84,0
192.168.10.161,0,0,42012,248,4836061,4547,4,85,0
192.168.10.168,0,0,44908,265,5830781,5476,4,86,0
192.168.10.190,0,0,41934,250,5939471,5577,0,86,0
192.168.10.217,0,0,42268,246,9277819,8671,3,84,0
192.168.10.226,0,0,43394,255,6586909,6174,0,84,0
192.168.10.229,0,0,39011,231,5578948,5236,0,86,0
192.168.10.247,0,0,44044,258,3795899,3593,16,85,0
192.168.10.248,0,0,43608,255,3601379,3409,1,84,0
localhost,243,164,589618,3126,215669858,199006,0,0,1861
