"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,32507,192,9469162,16777,0,78,0
192.168.10.120,0,0,30343,179,10599034,18775,0,79,0
192.168.10.121,0,0,32235,192,15513754,27461,0,77,0
192.168.10.126,0,0,32413,195,9355928,16583,0,78,0
192.168.10.128,0,0,33647,196,7265658,12890,0,79,0
192.168.10.137,0,0,32748,192,9036745,16023,0,79,0
192.168.10.138,0,0,31186,186,8703655,15432,0,80,0
192.168.10.152,0,0,32776,196,9546429,16921,0,79,0
192.168.10.155,0,0,31827,188,11918336,21106,0,78,0
192.168.10.168,0,0,32423,193,8591358,15234,1,79,0
192.168.10.190,0,0,30855,182,11119506,19693,0,78,0
192.168.10.217,0,0,30395,176,12398322,21949,0,78,0
192.168.10.229,0,0,30331,178,10575314,18729,0,79,0
192.168.10.248,0,0,31845,191,8509894,15091,0,79,0
localhost,140,124,425967,2126,295901604,506464,0,0,312
