"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx retries","tx failed"
localhost,194,186,104,0,0,0,336077,1373,727319576,510418,274,0
control,122,102,89,0,0,0,0,0,0,0,0,0
